"condition","plot_id","thermal.time","DAS","phenotype_value"
"Optimum",5102,1101,78,39.96084017
"Optimum",5101,1101,78,46.77178704
"Optimum",4001,1101,78,56.89716643
"Optimum",4002,1101,78,51.85563594
"Optimum",4003,1101,78,47.20987951
"Optimum",4004,1101,78,46.85526266
"Optimum",4006,1101,78,54.60012908
"Optimum",4007,1101,78,44.13991517
"Optimum",4008,1101,78,47.68410251
"Optimum",4010,1101,78,51.37410801
"Optimum",5111,1101,78,51.25481677
"Optimum",5112,1101,78,51.72046732
"Optimum",5113,1101,78,57.13632876
"Optimum",5114,1101,78,43.67484607
"Optimum",5115,1101,78,44.79767502
"Optimum",5116,1101,78,51.35033835
"Optimum",5117,1101,78,44.63093208
"Optimum",5118,1101,78,49.58635892
"Optimum",5119,1101,78,47.20013232
"Optimum",5120,1101,78,46.72914446
"Optimum",3120,1101,78,49.35568496
"Optimum",3119,1101,78,54.69020338
"Optimum",3118,1101,78,52.83587919
"Optimum",3117,1101,78,47.72472822
"Optimum",3116,1101,78,40.98973425
"Optimum",3115,1101,78,48.37084617
"Optimum",3114,1101,78,46.30803612
"Optimum",3113,1101,78,47.897832
"Optimum",3112,1101,78,41.66505804
"Optimum",3111,1101,78,46.95007343
"Optimum",6010,1101,78,48.01846809
"Optimum",6009,1101,78,43.65069772
"Optimum",6008,1101,78,43.00388004
"Optimum",6007,1101,78,41.4595694
"Optimum",6006,1101,78,47.69167058
"Optimum",6005,1101,78,51.64752205
"Optimum",6004,1101,78,57.2618383
"Optimum",6003,1101,78,47.54842764
"Optimum",6002,1101,78,43.01230401
"Optimum",6001,1101,78,56.35147696
"Optimum",3101,1101,78,45.09952505
"Optimum",3102,1101,78,48.82910309
"Optimum",3103,1101,78,42.88428113
"Optimum",3104,1101,78,45.66098894
"Optimum",3105,1101,78,49.83414223
"Optimum",3106,1101,78,53.5364419
"Optimum",3107,1101,78,43.98644498
"Optimum",3108,1101,78,46.04944648
"Optimum",3109,1101,78,36.17165729
"Optimum",3110,1101,78,52.45881109
"Optimum",6011,1101,78,44.46438223
"Optimum",6012,1101,78,45.56974382
"Optimum",6013,1101,78,42.92962028
"Optimum",6014,1101,78,42.53870914
"Optimum",6015,1101,78,50.37885683
"Optimum",6016,1101,78,48.71629131
"Optimum",6017,1101,78,45.21118775
"Optimum",6018,1101,78,41.68446269
"Optimum",6019,1101,78,44.26120286
"Optimum",6020,1101,78,44.9093324
"Optimum",3100,1101,78,52.84588733
"Optimum",3099,1101,78,47.7952422
"Optimum",3098,1101,78,43.91129791
"Optimum",3097,1101,78,48.75860042
"Optimum",3096,1101,78,42.70832015
"Optimum",3095,1101,78,38.42951723
"Optimum",3094,1101,78,40.89356333
"Optimum",3093,1101,78,41.72909131
"Optimum",3092,1101,78,48.69250157
"Optimum",3091,1101,78,40.6243246
"Optimum",6030,1101,78,45.5211905
"Optimum",6029,1101,78,45.24103842
"Optimum",6028,1101,78,52.6966527
"Optimum",6027,1101,78,43.197968
"Optimum",6026,1101,78,43.06822493
"Optimum",6025,1101,78,52.48521824
"Optimum",6024,1101,78,44.21020199
"Optimum",6023,1101,78,44.80956785
"Optimum",6022,1101,78,46.06300209
"Optimum",6021,1101,78,44.74379026
"Optimum",3081,1101,78,45.95657949
"Optimum",3082,1101,78,47.84548814
"Optimum",3083,1101,78,42.43131939
"Optimum",3084,1101,78,45.84393069
"Optimum",3085,1101,78,45.39436151
"Optimum",3086,1101,78,48.71575343
"Optimum",3087,1101,78,47.69459332
"Optimum",3088,1101,78,48.31162902
"Optimum",3089,1101,78,40.95703727
"Optimum",3090,1101,78,43.46376566
"Optimum",6031,1101,78,45.66253457
"Optimum",6032,1101,78,48.50746638
"Optimum",6033,1101,78,48.57219828
"Optimum",6034,1101,78,47.00336649
"Optimum",6035,1101,78,45.64953926
"Optimum",6036,1101,78,53.93834092
"Optimum",6037,1101,78,55.44036294
"Optimum",6038,1101,78,42.7836204
"Optimum",6039,1101,78,45.99262385
"Optimum",6040,1101,78,52.87095888
"Optimum",3080,1101,78,48.01899641
"Optimum",3079,1101,78,42.97633529
"Optimum",3078,1101,78,50.9882126
"Optimum",3077,1101,78,44.65160618
"Optimum",3076,1101,78,43.38391452
"Optimum",3075,1101,78,42.54825746
"Optimum",3074,1101,78,44.40982977
"Optimum",3073,1101,78,42.98573713
